region,product,sales,quantity,date
North,Product A,15000,120,2024-01-15
North,Product B,23000,180,2024-01-15
North,Product C,18000,145,2024-01-15
South,Product A,19000,150,2024-01-15
South,Product B,27000,210,2024-01-15
South,Product C,21000,165,2024-01-15
East,Product A,16500,130,2024-01-15
East,Product B,24500,195,2024-01-15
East,Product C,19500,155,2024-01-15
West,Product A,17500,140,2024-01-15
West,Product B,25500,200,2024-01-15
West,Product C,20500,160,2024-01-15
North,Product A,16000,125,2024-02-15
North,Product B,24000,185,2024-02-15
North,Product C,19000,150,2024-02-15
South,Product A,20000,155,2024-02-15
South,Product B,28000,215,2024-02-15
South,Product C,22000,170,2024-02-15
East,Product A,17500,135,2024-02-15
East,Product B,25500,200,2024-02-15
East,Product C,20500,160,2024-02-15
West,Product A,18500,145,2024-02-15
West,Product B,26500,205,2024-02-15
West,Product C,21500,165,2024-02-15
